id,title,expected_category,predicted_category,category_correct,expected_priority,predicted_priority,priority_correct,answer_quality_score,answer_quality_notes
T001,Prośba o reset hasła,Konto i dostęp,Inne,False,Niski,Niski,True,4,Dopasowano 1/4 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T002,Konto zablokowane po błędnych próbach logowania,Konto i dostęp,Konto i dostęp,True,Średni,Średni,True,4,Dopasowano 1/4 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T003,Brak uprawnień do folderu sieciowego,Konto i dostęp,Konto i dostęp,True,Niski,Średni,False,4,Dopasowano 1/4 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T004,Założenie konta dla nowego pracownika,Konto i dostęp,Inne,False,Niski,Średni,False,3,Brak dopasowania słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T005,Nie mogę się zalogować do systemu,Konto i dostęp,Inne,False,Średni,Średni,True,4,Dopasowano 1/4 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T006,Konto pracownika nieaktywne po urlopie macierzystym,Konto i dostęp,Konto i dostęp,True,Średni,Średni,True,3,Brak dopasowania słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T007,Nie mogę pracować — brak dostępu do systemu kadrowego,Konto i dostęp,Konto i dostęp,True,Wysoki,Wysoki,True,5,Dopasowano 3/5 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T008,Cały dział IT bez dostępu do repozytorium kodu,Konto i dostęp,Konto i dostęp,True,Krytyczny,Krytyczny,True,5,Dopasowano 3/5 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T009,VPN nie łączy się z siecią firmową,Sieć i VPN,Sieć i VPN,True,Średni,Średni,True,4,Dopasowano 1/4 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T010,Brak połączenia z internetem na stacji roboczej,Sieć i VPN,Sieć i VPN,True,Średni,Średni,True,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T011,Sieć bezprzewodowa działa bardzo wolno,Sieć i VPN,Sieć i VPN,True,Niski,Średni,False,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T012,Brak sieci po przeniesieniu stanowiska pracy,Sieć i VPN,Konto i dostęp,False,Niski,Średni,False,3,Brak dopasowania słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T013,Pilne — VPN niedostępny dla całego działu sprzedaży,Sieć i VPN,Sieć i VPN,True,Krytyczny,Krytyczny,True,4,Dopasowano 2/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T014,Awaria routera głównego — wszyscy bez sieci,Sieć i VPN,Sieć i VPN,True,Krytyczny,Krytyczny,True,4,Dopasowano 2/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T015,Brak możliwości połączenia VPN z sieci mobilnej,Sieć i VPN,Sieć i VPN,True,Średni,Średni,True,4,Dopasowano 2/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T016,Prośba o konfigurację routera w sali konferencyjnej,Sieć i VPN,Sieć i VPN,True,Niski,Niski,True,4,Dopasowano 1/4 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T017,CRM zwraca błąd po aktualizacji,Aplikacje biznesowe,Aplikacje biznesowe,True,Wysoki,Wysoki,True,5,Dopasowano 5/6 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T018,System ERP działa bardzo wolno,Aplikacje biznesowe,Aplikacje biznesowe,True,Średni,Średni,True,5,Dopasowano 3/5 słów kluczowych. Odpowiedź pokrywa co najmniej połowę oczekiwanych słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
T019,Cały dział bez dostępu do systemu sprzedażowego,Aplikacje biznesowe,Konto i dostęp,False,Krytyczny,Krytyczny,True,4,Dopasowano 1/5 słów kluczowych. Odpowiedź zawiera sugestię diagnostyczną lub kroki rozwiązania. Odpowiedź zawiera informację o weryfikacji przez IT Support.
